"when","monitor_ambient_1","monitor_ambient_2","pipe_inlet","pipe_outlet","sensor_A","sensor_AB","sensor_CD","sensor_EF","sensor_F","sensor_G","sensor_GH","sensor_H","sensor_K","sensor_L","sensor_M","sensor_N","sensor_O","sensor_Q","sensor_T","sensor_U","sensor_X","sensor_Z"
"2018.09.17_05:2",23.0000 ,20.1597 ,17.4091 ,17.3580 ,56.6875 ,54.3750 ,63.9688 ,66.9625 ,66.4375 ,62.3937 ,64.2812 ,17.3807 , , , ,62.5000 ,50.7500 ,65.3812 ,72.8250 ,61.3125 , ,55.3125 
"2018.09.17_05:3",23.0000 ,20.0938 ,17.3125 ,17.2188 ,56.6875 ,54.3750 ,64.0568 ,67.0284 ,66.4659 ,62.4375 ,64.3693 ,17.2563 , , , ,62.5114 ,50.7557 ,65.4432 ,72.8693 ,61.3125 , ,55.3125 
"2018.09.17_05:4",23.0000 ,19.8875 ,17.2188 ,17.1500 ,56.6437 ,54.3375 ,64.1125 ,67.0812 ,66.5000 ,62.4375 ,64.4688 ,17.2125 , , , ,62.5625 ,50.7500 ,65.5000 ,72.8750 ,61.3125 , ,55.3125 
"2018.09.17_05:5",22.9812 ,20.1806 ,17.1477 ,17.1875 ,56.5398 ,54.3125 ,64.1250 ,67.1437 ,66.5563 ,62.4375 ,64.5563 ,17.2784 , , , ,62.5625 ,50.7500 ,65.5500 ,72.8937 ,61.3125 , ,55.3125 
"2018.09.17_06:0",22.9306 ,20.1438 ,17.0688 ,17.1438 ,56.5500 ,54.3125 ,64.1477 ,67.2102 ,66.5852 ,62.4375 ,64.6534 ,17.2188 , , , ,62.5625 ,50.7500 ,65.6023 ,72.9375 ,61.3125 , ,55.3125 
"2018.09.17_06:1",22.8750 ,20.1375 ,16.9886 ,16.8807 ,56.6136 ,54.3125 ,64.1875 ,67.2500 ,66.6250 ,62.4750 ,64.7438 ,16.8580 , , , ,62.5812 ,50.7500 ,65.6625 ,72.9375 ,61.3125 , ,55.3125 
"2018.09.17_06:2",22.7312 ,20.0750 ,16.8687 ,16.8562 ,56.6250 ,54.3000 ,64.1500 ,67.3063 ,66.6625 ,62.5000 ,64.8375 ,16.9187 , , , ,62.5688 ,50.7500 ,65.7188 ,72.9375 ,61.3312 , ,55.3125 
"2018.09.17_06:3",22.6458 ,19.7778 ,16.7875 ,16.8188 ,56.5812 ,54.2670 ,64.1080 ,67.3636 ,66.6989 ,62.5000 ,64.9148 ,16.8500 , , , ,62.5852 ,50.7500 ,65.7614 ,72.9773 ,61.3523 , ,55.3125 
"2018.09.17_06:4",22.6687 ,19.9688 ,16.7102 ,16.8068 ,56.5625 ,54.2500 ,64.1063 ,67.4062 ,66.7500 ,62.5000 ,65.0062 ,16.8580 , , , ,62.6250 ,50.7500 ,65.8250 ,73.0000 ,61.3750 , ,55.3125 
"2018.09.17_06:5",22.6687 ,19.7625 ,16.6562 ,16.8000 ,56.4688 ,54.2386 ,64.0682 ,67.4659 ,66.7727 ,62.5000 ,65.0966 ,16.8062 , , , ,62.6250 ,50.7159 ,65.8750 ,73.0000 ,61.3750 , ,55.3125 
"2018.09.17_07:0",22.6181 ,19.7639 ,16.6250 ,16.7312 ,56.4188 ,54.1875 ,64.1437 ,67.5062 ,66.8125 ,62.5562 ,65.1875 ,16.7937 , , , ,62.6250 ,50.6875 ,65.9313 ,73.0000 ,61.3750 , ,55.3125 
"2018.09.17_07:1",22.5625 ,19.6938 ,16.6534 ,16.8409 ,56.4375 ,54.1875 ,64.2188 ,67.5563 ,66.8625 ,62.5625 ,65.2750 ,16.9545 , , , ,62.6313 ,50.6875 ,65.9813 ,73.0187 ,61.3750 , ,55.3125 
"2018.09.17_07:2",22.5312 ,19.8687 ,16.7437 ,17.0312 ,56.4375 ,54.1875 ,64.1875 ,67.6023 ,66.8750 ,62.5625 ,65.3466 ,17.2250 , , , ,62.6534 ,50.6875 ,66.0341 ,73.0455 ,61.3750 , ,55.3125 
"2018.09.17_07:3",22.5250 ,19.9312 ,16.8625 ,17.1250 ,56.4375 ,54.1812 ,64.2438 ,67.6312 ,66.9375 ,62.5625 ,65.4375 ,17.2812 , , , ,62.6812 ,50.6562 ,66.0750 ,73.0625 ,61.3750 , ,55.3125 
"2018.09.17_07:4",22.5625 ,20.1528 ,16.9943 ,17.2898 ,56.4943 ,54.1875 ,64.2500 ,67.6875 ,66.9625 ,62.5875 ,65.5187 ,17.5398 , , , ,62.6875 ,50.6313 ,66.1250 ,73.0625 ,61.3750 , ,55.3125 
"2018.09.17_07:5",22.5250 ,20.0437 ,17.1438 ,17.6313 ,56.4750 ,54.1534 ,64.2500 ,67.7273 ,67.0000 ,62.6250 ,65.5966 ,17.9563 , , , ,62.6875 ,50.6250 ,66.1818 ,73.0625 ,61.3750 , ,55.3125 
"2018.09.17_08:0",22.5063 ,20.1938 ,17.3438 ,17.8250 ,56.3813 ,54.1250 ,64.2500 ,67.7500 ,67.0375 ,62.6250 ,65.6688 ,18.0625 , , , ,62.6875 ,50.6250 ,66.2250 ,73.0625 ,61.3750 , ,55.3125 
"2018.09.17_08:1",22.5694 ,20.2222 ,17.5568 ,17.9318 ,56.3580 ,54.1313 ,64.2875 ,67.8125 ,67.0625 ,62.6250 ,65.7562 ,18.1080 , , , ,62.6875 ,50.6250 ,66.2625 ,73.0625 ,61.3750 , ,55.3125 
"2018.09.17_08:2",22.6062 ,20.1187 ,17.8125 ,18.2375 ,56.3062 ,54.1250 ,64.3125 ,67.8295 ,67.1193 ,62.6250 ,65.8295 ,18.5500 , , , ,62.7102 ,50.6250 ,66.3182 ,73.0625 ,61.3750 , ,55.3125 
"2018.09.17_08:3",22.6750 ,20.1938 ,18.0500 ,18.4812 ,56.1875 ,54.0875 ,64.3125 ,67.8812 ,67.1250 ,62.6500 ,65.9062 ,18.8250 , , , ,62.7437 ,50.6250 ,66.3688 ,73.0750 ,61.3750 , ,55.3500 
"2018.09.17_08:4",22.7014 ,20.3264 ,18.2159 ,18.5625 ,56.1250 ,54.0625 ,64.3063 ,67.9188 ,67.1875 ,62.6812 ,65.9813 ,18.8011 , , , ,62.7500 ,50.6250 ,66.4000 ,73.1125 ,61.3750 , ,55.3750 
"2018.09.17_08:5",22.8188 ,20.3562 ,18.5437 ,19.1438 ,56.1688 ,54.0284 ,64.3011 ,67.9375 ,67.2102 ,62.6875 ,66.0511 ,19.7750 , , , ,62.7500 ,50.6250 ,66.4489 ,73.1136 ,61.3750 , ,55.3750 
